text,intent,split
what are the benefits i get for my health,insurance,train
what is the aid i get from these health benefits,insurance,train
can i obtain health benefits,insurance,train
give me info on my health plan,insurance,train
what was my health plan again,insurance,train
what health plan do i have,insurance,train
tell me my health plan,insurance,train
what's my health plan,insurance,train
"which insurance plan am i enrolled in, please",insurance,train
"what type of insurance plan am i enrolled in, please",insurance,train
what kind of insurance plan am i enrolled in,insurance,train
"what kind of insurance plan am i enrolled in, please",insurance,train
may i know my insurance benefits,insurance,train
where is the list of my insurance benefits,insurance,train
what's my insurance benefits like,insurance,train
how do i know my insurance benefits,insurance,train
what insurance benefits am i getting,insurance,train
how would you define my health benefits,insurance,train
will you summarize my health benefits,insurance,train
define my health benefits,insurance,train
how would you describe my health benefits,insurance,train
what is the definition of my health benefits,insurance,train
can you explain my benefits,insurance,train
whats included with my insurance,insurance,train
what insurance benefits do i have,insurance,train
what do my benefits look like,insurance,train
what benefits are included in my package,insurance,train
what are my insurance assets,insurance,train
what are my insurance advantages,insurance,train
what are my insurance perks,insurance,train
what are my insurance rewards,insurance,train
what are my insurance amenities,insurance,train
do you know what my health benefits are,insurance,train
please look up the name of my insurance plan,insurance,train
can you tell me the name of my insurance plan,insurance,train
i need to add the chore of vacuuming to my task list,todo_list_update,train
put wash the counters down on my list of pending tasks,todo_list_update,train
take doing the dishes off my todo list,todo_list_update,train
blank out my todo list,todo_list_update,train
erase all items on my todo list,todo_list_update,train
delete everything on my todo list,todo_list_update,train
add clean bathroom to my to do list,todo_list_update,train
go ahead and take cleaning the bathroom off my todo list,todo_list_update,train
you can remove vacuuming off the todo list,todo_list_update,train
make my todo list blank,todo_list_update,train
please take shoveling the car off my todo list,todo_list_update,train
i'd like you to remove throw away dvds off my todo list,todo_list_update,train
put clean stovetop on my list of reminders,todo_list_update,train
nuke all items on my todo list,todo_list_update,train
will you put change the light bulbs on my list of things to do,todo_list_update,train
delete everything from the task list,todo_list_update,train
hurry up and just erase everything from the todo list,todo_list_update,train
can you kindly clear my agenda list,todo_list_update,train
hey just take off everything from my todo list,todo_list_update,train
i don't want to do anything today so just clear the todo list,todo_list_update,train
please include feeding the fish on my to do list,todo_list_update,train
please remove laundry from my list of chores,todo_list_update,train
please clear out my whole to do list,todo_list_update,train
i want you to clear out my to do list,todo_list_update,train
i want you to add cleaning the toilet to my to do list,todo_list_update,train
make sure my to do list is completely clear please,todo_list_update,train
please include laundry on my to do list,todo_list_update,train
can you please add take out recycling on my list of chores to complete,todo_list_update,train
please get rid off everything on my to do list,todo_list_update,train
please take feeding the fish off of my list of tasks to complete,todo_list_update,train
i need to add dusting the bookshelf to my to do list,todo_list_update,train
please put washing the dishes on my list of tasks to accomplish,todo_list_update,train
please be sure to put folding laundry on my to do list for me,todo_list_update,train
please put watering the plants on my to do list,todo_list_update,train
please erase everything on my to do list,todo_list_update,train
take watering the plants off of my to do list,todo_list_update,train
"i just finished taking out my recycling, so cross that off my to do list",todo_list_update,train
can you check washing the dishes off on my to do list,todo_list_update,train
i need laundry put on my list of tasks to complete,todo_list_update,train
please add watering the plants to my current to do list,todo_list_update,train
to my domestic task list please add paint kitchen,todo_list_update,train
add to my task list get carpet cleaned,todo_list_update,train
add clean the bathroom to my task list,todo_list_update,train
put clean refrigerator on my spring cleaning to do list,todo_list_update,train
on my big project task list please add paint shutters in spring,todo_list_update,train
delete my to do list,todo_list_update,train
"erase get a haircut from my to do list, please",todo_list_update,train
i need to include a stop at the pharmacy to the list of things to do,todo_list_update,train
please cross off schedule acupuncture appointment off of the to do list,todo_list_update,train
please put my acupuncture appointment on my to list,todo_list_update,train
"can you add a trip to the post office to my to do list, please",todo_list_update,train
please also list wash laundry on my to do list,todo_list_update,train
will you please put remember to drop off at the dry cleaner's to my current to do list,todo_list_update,train
would you kindly remove five mile run from my list of things to do,todo_list_update,train
"let's go ahead and scratch laundry off my to do list, please!",todo_list_update,train
can you delete lunch with david from my to do list,todo_list_update,train
put dishes on to do list,todo_list_update,train
"on my to do list, add dishes",todo_list_update,train
i need to do dishes put it on my to do list,todo_list_update,train
add dishes to my list,todo_list_update,train
cleaning needs to be on my to do list,todo_list_update,train
please add cleaning on my list to do,todo_list_update,train
cleaning needs to go on my list of things to do,todo_list_update,train
"on my to do list, add cleaning",todo_list_update,train
i need to do cleaning so add it to my to do list,todo_list_update,train
"on my to do list, i need cleaning added",todo_list_update,train
put cleaning on my to do list,todo_list_update,train
please put cleaning on my list of things to do,todo_list_update,train
add cleaning to my to do list,todo_list_update,train
"on my list of things to do, add cleaning",todo_list_update,train
can you place laundry on my to do list,todo_list_update,train
help remind me that i need to add laundry to my list of housework,todo_list_update,train
if you could remind me about doing laundry i would appreciate it,todo_list_update,train
please remind me to add laundry to my list of chores,todo_list_update,train
add laundry to my list of shit to do,todo_list_update,train
add change filters to my to do list,todo_list_update,train
add schedule appraiser to my to do list,todo_list_update,train
add mop bathroom to my to do list,todo_list_update,train
add do laundry to my to do list,todo_list_update,train
put buy dog food on my to do list,todo_list_update,train
"on my to do list, add exercising",todo_list_update,train
remove all items from todo list,todo_list_update,train
add grocery shopping to my list of things to do,todo_list_update,train
clear out my entire todo list,todo_list_update,train
remove laundry from my todo list,todo_list_update,train
put laundry on my to do list,todo_list_update,train
nix folding laundry from my todo list,todo_list_update,train
add washing dishes to my to do list,todo_list_update,train
cross volunteering off my todo list,todo_list_update,train
take everything off my todo list,todo_list_update,train
i no longer need to wash dishes; take it of my list,todo_list_update,train
delete everything on my to do list,todo_list_update,train
mark down cleaning the bathroom on my list of things to do,todo_list_update,train
throw mopping onto my to do list,todo_list_update,train
can you remind me to mop later by putting it on my to do list today,todo_list_update,train
will you make sure that mopping is on my to do list,todo_list_update,train
will you add mopping to my to do list please,todo_list_update,train
can you put mopping on my to do list,todo_list_update,train
place cleaning the backyard on my list of things to do,todo_list_update,train
please put the meeting with carla on my to do list,todo_list_update,train
tell me my reminders,reminder,train
tell me my current reminders list,reminder,train
please read my reminders,reminder,train
will you repeat my reminder list,reminder,train
check my reminders for mop and floor,reminder,train
read my reminder list to me,reminder,train
is mop the floor already in my reminders,reminder,train
read back the reminder list,reminder,train
what's on the reminder list,reminder,train
read my reminders to me,reminder,train
check my reminders for mop the floor,reminder,train
what reminders do i have,reminder,train
read what i added to the reminder list,reminder,train
can you list each item on my reminder list,reminder,train
can you tell me what reminders i've set,reminder,train
tell me what's on my reminder list,reminder,train
do i have any reminders to look up how to properly do a potato in my microwave,reminder,train
do i have a reminder for our neighbor's anniversary,reminder,train
tell my all my reminders,reminder,train
is respond to the professor's email on my list of reminders,reminder,train
read me my reminders list,reminder,train
go through all the reminders on my list and state what they are,reminder,train
is there a reminder for my aa meeting on my list,reminder,train
speak back to me what's on my reminder list,reminder,train
iterate the items on my reminder list,reminder,train
please go through my reminder list and tell me what's on it,reminder,train
did i add to my reminder list that i need to take the car in for an oil change,reminder,train
what did i want to remember again,reminder,train
what did i put on my list of reminders,reminder,train
can you tell me the reminders i have set up,reminder,train
what were the reminders that i made,reminder,train
i wanted to remember what again,reminder,train
can you remind me what i was trying to remember,reminder,train
i had a list of reminders what were they,reminder,train
remind me of what i asked you to remember,reminder,train
what reminders did i have,reminder,train
what are the thing i told you to help me remember,reminder,train
read my reminders please,reminder,train
what's on my reminder list today,reminder,train
do i have anything in my reminders,reminder,train
what did i ask to be reminded about,reminder,train
check if getting a light bulb is on my list of reminders,reminder,train
is buying a light bulb on my reminders list,reminder,train
confirm that buy a light bulb is on my list of reminders,reminder,train
please read my list of reminders,reminder,train
what is now on my reminder list,reminder,train
what things are currently on my reminder list,reminder,train
tell me what is showing up on my reminder list,reminder,train
what are the items on my reminder list,reminder,train
can you read my list back to me,reminder,train
can you repeat my list back to me,reminder,train
can you describe my list back to me,reminder,train
what is on my reminder list,reminder,train
is checking the mail on my list of reminder,reminder,train
i want to see my reminder list,reminder,train
what do i want to remember,reminder,train
let me know what is on my reminder list,reminder,train
can you please repeat my list back to me,reminder,train
tell me what is on my reminder list,reminder,train
let me see the reminder list please,reminder,train
can you read me my list of reminders,reminder,train
what do i have on my list of reminders,reminder,train
what did i list in my reminders,reminder,train
"i wanted to remember some things, what were they",reminder,train
can you remind me the things i was trying to remember,reminder,train
let me know what's on my list of reminders,reminder,train
can you tell me what things i was trying to remember,reminder,train
tell me what's on my reminders list please,reminder,train
what were those things i was trying to remember,reminder,train
do you know what things i wanted to remember,reminder,train
what are in my reminders list,reminder,train
my list of reminders is what,reminder,train
on my list of reminders is what,reminder,train
the lists of my reminders is what,reminder,train
reminders of my list is what,reminder,train
is there a reminder set to clean the gutters,reminder,train
what do i have on my reminder list,reminder,train
please read all the items on my reminder list,reminder,train
can you tell me all the reminders i have set on my reminder list,reminder,train
did i request a reminder for my niece's graduation,reminder,train
"can you read my reminder list, please",reminder,train
is the company party on my list of reminders,reminder,train
did i set up a reminder to clean the bathroom,reminder,train
what did i include on my list of things to remember,reminder,train
please look to see if paying bills is on my reminders list currently,reminder,train
please tell me everything on my list of reminders,reminder,train
tell me if flipping the mattress is on my list of reminders please,reminder,train
i need to know the content of my list of reminders,reminder,train
tell me everything i included on my list of things to remember for later,reminder,train
check to see if picking up glenn from the airport is on my list of reminders,reminder,train
go through my reminder list with me please,reminder,train
i would like to hear you read my reminder list to me,reminder,train
i want to hear what is on my reminders list,reminder,train
read my list of reminders to me,reminder,train
tell me what i had wanted to remember earlier,reminder,train
did i include cleaning the hamster cage on my list of reminders,reminder,train
walk me through the items on my reminder list,reminder,train
i need to know what it is that i wanted to remember before,reminder,train
please give me a rundown of my reminder list,reminder,train
i want to hear everything on my reminder list,reminder,train
can you slow your speaking down,change_speed,train
slow down your talking too fast i don't understand you,change_speed,train
you're talking too fast i need you to slow it down,change_speed,train
"you're speaking too fast, slow down",change_speed,train
can you speak slower please,change_speed,train
can you please speed up your speech settings,change_speed,train
i want you to adjust your speaking to be faster,change_speed,train
can you speak faster please,change_speed,train
i want you to speak to me faster,change_speed,train
decrease the speed of your speech please,change_speed,train
please speed up your speaking pattern,change_speed,train
i want you to talk more slowly,change_speed,train
"your voice speed is too slow, please increase it",change_speed,train
i want your speech settings to be made slower,change_speed,train
"you are talking far too fast for me, can you slow it down a bit",change_speed,train
please make it so you say your words more slowly,change_speed,train
can you talk slower please,change_speed,train
can you speed up your speech please,change_speed,train
i want you to talk more quickly,change_speed,train
"you are talking too fast for me, please slow down",change_speed,train
"please increase the speed of your speech, it is too slow",change_speed,train
could you slow down your speech,change_speed,train
please increase the speed of your talking,change_speed,train
please slow down i can't understand you,change_speed,train
i want you to speak more slowly to me,change_speed,train
speed up your speech,change_speed,train
speak slower,change_speed,train
i'd like you to talk faster,change_speed,train
speak at a slower rate,change_speed,train
"talk slower, please",change_speed,train
slow your roll,change_speed,train
slow your speech,change_speed,train
slow down your speech,change_speed,train
slow down your talking,change_speed,train
"speak faster, please",change_speed,train
"speak more quickly, please",change_speed,train
i need you to speak faster,change_speed,train
you should talk faster,change_speed,train
slow your speech down,change_speed,train
present your speech at a slower pace,change_speed,train
can you slow down,change_speed,train
make your speed a bit slower,change_speed,train
can you please speed up your speech,change_speed,train
make your speech slower than now,change_speed,train
change the speed of your voice to slower,change_speed,train
slow down,change_speed,train
can you please slow down,change_speed,train
find a new voice that is slower than your current voice,change_speed,train
can you please talk faster,change_speed,train
talker faster please,change_speed,train
slow the speech down,change_speed,train
"hey, speak slowly",change_speed,train
reduce your speed of voice,change_speed,train
"hey ai, don't speak fast",change_speed,train
"hey, slow down and take your time",change_speed,train
"hey ai, reduce your speed of speaking",change_speed,train
can you slow down your speech,change_speed,train
how do i slow down my ai's voice,change_speed,train
could you speak a little more slowly,change_speed,train
how do i change your options so that you speak more slowly,change_speed,train
how do i change the speed of my ai's voice,change_speed,train
adjust speech rate to a faster setting,change_speed,train
please use a quicker rate of speech,change_speed,train
speak faster,change_speed,train
speed up your talking please,change_speed,train
could you not talk so slowly,change_speed,train
can you please talk slower,change_speed,train
can you talk a bit slower please,change_speed,train
can you please not talk so fast,change_speed,train
speak slower please,change_speed,train
please don't speak so fast,change_speed,train
can you speak with me using faster speech,change_speed,train
please say things more quickly,change_speed,train
will you speak more rapidly,change_speed,train
i would like you to increase the speed of your speech please,change_speed,train
i'd like you to speak a bit slower,change_speed,train
can you change how fast you're talking to speak more slowly,change_speed,train
i can't understand you because of how rapidly you're speaking,change_speed,train
can you slow down how fast you talk,change_speed,train
please speak slower,change_speed,train
whoa whoa please slow down,change_speed,train
is there any way you can decrease your speaking rate,change_speed,train
"why are you talking so sloooooooooowly, please speed it up!",change_speed,train
can i get you to talk at a slightly faster rate,change_speed,train
can you talk at a normal speed please,change_speed,train
please stop talking so fast,change_speed,train
"hey, stop talking like you're a stretch taped",change_speed,train
please slow down how you're speaking,change_speed,train
you're talking too quickly for me to understand,change_speed,train
is it possible to speed up of your replies,change_speed,train
where do i find instructions on how to speed up voice replies,change_speed,train
how do i speed up the speech of this ai,change_speed,train
"sorry, can you speak a little faster",change_speed,train
"sorry, can you speak a little quicker, please",change_speed,train
"can you speak a little faster, please",change_speed,train
"sorry, can you speak a little faster, please",change_speed,train
"could you speak a little faster, please",change_speed,train
i need to change your voice settings,change_speed,train
can you slow down the speed in which you speak,change_speed,train
you're speaking too fast and i need to change that,change_speed,train
how's the air pressure in my tires,tire_pressure,train
what's my tires current air pressure,tire_pressure,train
what's the amount of air in my tires right now,tire_pressure,train
are my tire's air pressure good enough to drive on,tire_pressure,train
what's the inflation of my tires,tire_pressure,train
what's the current psi for my tires,tire_pressure,train
how low is the pressure in my tires,tire_pressure,train
what's the current tire pressure of my tires,tire_pressure,train
is the air pressure in my tires low,tire_pressure,train
what's my current tire pressure,tire_pressure,train
is the air pressure on my tires low,tire_pressure,train
do i need to fill up my tires,tire_pressure,train
are my tires in need of air,tire_pressure,train
should i put air in my tires,tire_pressure,train
are my tires requiring a fill-up,tire_pressure,train
are my tires good on air,tire_pressure,train
have my tires got adequate amounts of air in them,tire_pressure,train
do i need more air in my tires,tire_pressure,train
should i be concerned about the air in my tires,tire_pressure,train
how is the air level in my tires,tire_pressure,train
how much air is in my tires,tire_pressure,train
is there air in my tires,tire_pressure,train
air amount in tires,tire_pressure,train
how high is the air in my tires,tire_pressure,train
how much air remains in my tires,tire_pressure,train
what is the tire pressure in my car,tire_pressure,train
are my tires full or low,tire_pressure,train
what is the current tire pressure level in the car,tire_pressure,train
tell me my car's tires' air pressure,tire_pressure,train
do i need to fill my tires,tire_pressure,train
tell me my tires' air pressure,tire_pressure,train
what's my tires' air pressure,tire_pressure,train
what's my car's tire pressure,tire_pressure,train
what is the air pressure in my tires,tire_pressure,train
can you tell me the tire pressure in my car,tire_pressure,train
what's my air pressure right now,tire_pressure,train
what's the air level in my tires,tire_pressure,train
tell me my car's tire pressure level,tire_pressure,train
how many psi's are my tires at the moment,tire_pressure,train
the car feels wobbly so check my tire pressure,tire_pressure,train
what is my current tire pressure for each tire,tire_pressure,train
tell me ths pressure of my tires,tire_pressure,train
please measure my tire pressure,tire_pressure,train
"the cars riding funny, does the tire pressure feel low to you",tire_pressure,train
can you check the tire pressure,tire_pressure,train
do the tires look a little low on pressure,tire_pressure,train
what is the pressure like on my tires,tire_pressure,train
measure tire pressure,tire_pressure,train
check my car's tire pressure,tire_pressure,train
gauge the tire pressure,tire_pressure,train
how much pressure is in my car's tire,tire_pressure,train
what is my car's tire pressure,tire_pressure,train
are my tires fully inflated,tire_pressure,train
do i need to inflate my tires,tire_pressure,train
are my tires aired properly,tire_pressure,train
are my tires ok on pressure,tire_pressure,train
is the pressure in my tires optimal,tire_pressure,train
are my tires properly inflated with air,tire_pressure,train
are my tires good on pressure,tire_pressure,train
do my tires have enough air,tire_pressure,train
please check and report on my tire pressure,tire_pressure,train
how's my tire pressure,tire_pressure,train
i want an evaluation of my car's tire pressure,tire_pressure,train
can you give me a reading of my car's tire pressure please,tire_pressure,train
i would like to know my car's tire pressure please,tire_pressure,train
how are my tires,tire_pressure,train
are my tires low,tire_pressure,train
should i air up the tires,tire_pressure,train
do the tires need air,tire_pressure,train
how is the tire pressure,tire_pressure,train
how much pressure are currently in my tires,tire_pressure,train
how much pressure is in my tires,tire_pressure,train
whats the pressure like in my tires,tire_pressure,train
how are the tires on air pressure,tire_pressure,train
please check the pressure in my tires,tire_pressure,train
hows the air in my tires,tire_pressure,train
i am needing to know how low the air in my tires are,tire_pressure,train
tell me how low the air in my tires are,tire_pressure,train
i want to know how low the air in my tires are,tire_pressure,train
let me know how low the air in my tires are,tire_pressure,train
would you let me know how low the air in my tires are,tire_pressure,train
what does my tire pressure look like,tire_pressure,train
are my tires under-inflated,tire_pressure,train
is my tire pressure in the correct range,tire_pressure,train
do my tires need air,tire_pressure,train
should i pump my tires,tire_pressure,train
are my tires low on air,tire_pressure,train
do my tires seem too low on air,tire_pressure,train
would it be smart to put air in my tires,tire_pressure,train
what's the tire pressure of my car,tire_pressure,train
is my tire pressure okay,tire_pressure,train
can you tell me what's the car's tire pressure,tire_pressure,train
tire pressure please,tire_pressure,train
can you check my tire pressure,tire_pressure,train
can you tell me what my tire pressure is,tire_pressure,train
can you check the air in my tires,tire_pressure,train
check how much air is in my tires,tire_pressure,train
how much air do i have in my tires,tire_pressure,train
tell me what my tire pressure is,tire_pressure,train
how full are my tires,tire_pressure,train
"no, that's incorrect",no,train
that's not true,no,train
"that is not true, it's false",no,train
no way,no,train
not really,no,train
naw,no,train
nay,no,train
i must say no,no,train
i think not,no,train
that is actually false,no,train
i gotta say no,no,train
no thanks,no,train
no is the answer,no,train
i don't think so,no,train
it's a no,no,train
i think it is false,no,train
not true,no,train
that is not true,no,train
not at all,no,train
that turns out to be false,no,train
"please, no",no,train
not that,no,train
definitely not,no,train
i would have to say the answer to that is no,no,train
i say no to that question,no,train
"no, that is my response",no,train
"i don't believe that is possible, it is false",no,train
i would say that the statement is definitely false,no,train
i am afraid that that is not the case,no,train
"no, that information is wrong",no,train
that is a completely false statement,no,train
that would be a no,no,train
"i do not think that is true, so i would say it is a false statement",no,train
"incorrect, it is certainly a false statement",no,train
i do not believe that that is correct,no,train
the answer is definitely no,no,train
"sorry, that is not true",no,train
that's a negative,no,train
no!,no,train
that's not right,no,train
"no, don't do that",no,train
"i don't like that, no",no,train
no way!,no,train
"oh hell no, that'd be terrible!",no,train
that's inaccurate,no,train
that's not what i want!,no,train
that's completely false,no,train
that's incorrect!,no,train
that's totally wrong!,no,train
that's a hard no from me,no,train
no don't do that!,no,train
no that is not right,no,train
false for sure,no,train
that's definitely false,no,train
"nope, that's false",no,train
"no, that is not right",no,train
"no, that is inaccurate",no,train
"no, that can't be right",no,train
that is untrue,no,train
i disagree that is false,no,train
what you just said is false,no,train
that is erroneous,no,train
no that's wrong,no,train
that isn't the right answer,no,train
the information is wrong,no,train
that is not correct,no,train
that is not right,no,train
that is wrong,no,train
i'll pass,no,train
not that one,no,train
"that's not right, so no",no,train
the answer is false,no,train
"no, that is not right at all",no,train
that is overwhelmingly false,no,train
that's not right it's false,no,train
i say negative,no,train
negative for sure,no,train
nope,no,train
no thank you,no,train
that is not the case,no,train
no that isn't the case,no,train
no that isn't it,no,train
no that isn't correct,no,train
"that would be ""no",no,train
you are wrong,no,train
no that is wrong,no,train
that is false,no,train
negative,no,train
what you just said is wrong,no,train
that’s actually wrong,no,train
that’s not correct,no,train
that’s incorrect,no,train
are you sure i don’t think that’s correct,no,train
that'd be a no,no,train
nada,no,train
the answer is no,no,train
i think that's false,no,train
i believe that to be false,no,train
it seems not,no,train
that would be false,no,train
is the apr on my credit card good,apr,train
how good is the apr on my credit card,apr,train
do i have a good apr on my credit card,apr,train
does my credit card apr fall into a good range,apr,train
tell me how the apr on my hy-vee card is,apr,train
what's my apr on my discovery card,apr,train
what's an example of a good apr and what do i have,apr,train
how much is my apr on my bank of america card,apr,train
is my visa card's apr decent,apr,train
how good is the apr on my mastercard compared to others,apr,train
is the apr rate on my amex pretty good,apr,train
can you inform me what my apr is on my visa,apr,train
how high is the apr on my mastercard,apr,train
how much is my amex's apr,apr,train
what's the current apr for my mastercard,apr,train
how much do i pay in apr on my amex card,apr,train
what is the apr on my master card,apr,train
what is the apr on my visa card,apr,train
what is the apr on my discover card,apr,train
what is the apr on my chase freedom card,apr,train
what is the apr on my american express card,apr,train
what is the credit card apr exactly,apr,train
what is the credit card apr at the moment,apr,train
what is the credit card apr if you could fill me in,apr,train
what is the credit card apr please,apr,train
what is the credit card apr if you could tell me,apr,train
could you tell me what is the apr for the credit card,apr,train
could you please state the apr for the credit card,apr,train
what is the credit card's apr,apr,train
what is the apr for the credit card,apr,train
could you please tell me the apr for the credit card,apr,train
what is the apr rate on my bank of america card,apr,train
"i need to know on my citibank card, what is the apr",apr,train
i need to know the apr on my credit union visa,apr,train
"on my bank of america visa, what is the apr",apr,train
what is the apr on my aaa visa card,apr,train
review of my card apr,apr,train
how good is card apr,apr,train
can you give me an appraisal of my card's apr,apr,train
tell me the apr on my mastercard,apr,train
give me the apr for my mastercard,apr,train
fill me in on the apr for my american express card,apr,train
would you say that my card's apr is,apr,train
give me information about my card's apr,apr,train
what is the apr on my barclay's card,apr,train
i need to know the apr for my visa card,apr,train
can you look into whether my card has good apr or not,apr,train
tell me how good the apr is on my card please,apr,train
i must know my visa card's apr,apr,train
i need the apr on my visa card,apr,train
get me the apr on my visa card,apr,train
the apr on my visa card is what,apr,train
can you tell me the apr on my visa card,apr,train
my visa card  what's the apr on that,apr,train
"the apr on my disney visa, what is that exactly",apr,train
i'd like to know the apr on my visa card,apr,train
"hey siri, tell me the apr on my disney visa",apr,train
"check the apr on my disney visa, please",apr,train
how much is the apr these days on my nordstrom credit card,apr,train
"on my wells fargo mastercard, what is the current apr",apr,train
tell me the current apr on my visa card from bbt,apr,train
what is the apr on my chase visa,apr,train
what will the apr on my transferred balance be after the first year on my bank of america credit card,apr,train
what's my apr on the credit card i used for a purchase a week ago,apr,train
what's my apr on the card i recently used to make a purchase,apr,train
what's my apr on my primary credit card,apr,train
what's my apr on this card,apr,train
what's the apr like for my credit card,apr,train
this credit card's apr is what,apr,train
what apr do i have with my credit card,apr,train
what apr does this credit card have,apr,train
what is the apr to my credit card,apr,train
i want you to tell me my credit card's apr,apr,train
tell me what my credit card's apr is,apr,train
would you please inform me about my credit card's apr,apr,train
do you know my credit card's apr,apr,train
it would be great if you could tell me my credit card's apr,apr,train
what is my credit card's annual percentage rate,apr,train
tell me my credit card's annual percentage rate,apr,train
"my credit card's apr, please",apr,train
can you let me know my credit card's apr,apr,train
what is my apr for my credit card,apr,train
what is my apr,apr,train
i want to know my credit card apr,apr,train
is my apr for my credit card available,apr,train
tell me my credit card apr,apr,train
"what's the apr on my visa card, please",apr,train
what's the apr on my amex card,apr,train
"what's the apr on my amex card, please",apr,train
"what is the apr on my amex card, please",apr,train
what is the apr on my amex card,apr,train
give me my credit card's apr,apr,train
what is the apr for my credit card,apr,train
please say my credit card's apr,apr,train
what is my credit card's apr,apr,train
please say the apr for my credit card,apr,train
credit card annual rate,apr,train
what's the annual rate on my discover card,apr,train
tell me the apr of my credit card,apr,train
what's the apr of my discover card,apr,train
what's the nutritional info for spaghetti,nutrition_info,train
what's the nutritional info for pizza,nutrition_info,train
how healthy are potato skins,nutrition_info,train
how healthy is spaghetti,nutrition_info,train
share the nutrition info for brownies with me,nutrition_info,train
share the nutrition info for french fries with me,nutrition_info,train
what's the nutritional info for potato skins,nutrition_info,train
what's the nutritional info for lasagna,nutrition_info,train
how healthy are french fries,nutrition_info,train
share the nutrition info for spaghetti with me,nutrition_info,train
share the nutrition info for cake with me,nutrition_info,train
what's the nutritional info for french fries,nutrition_info,train
how healthy is tomato soup,nutrition_info,train
share the nutrition info for pizza with me,nutrition_info,train
what do you know to be the nutritional info for macaroni and cheese to be,nutrition_info,train
the nutritional info for macaroni and cheese is what,nutrition_info,train
can you read to me the nutritional info for macaroni and cheese,nutrition_info,train
do you know the nutritional info for macaroni and cheese,nutrition_info,train
can you remember the nutritional info for macaroni and cheese,nutrition_info,train
is it healthy to eat pizza,nutrition_info,train
is pizza healthy,nutrition_info,train
how healthy is pizza,nutrition_info,train
could pizza be healthy,nutrition_info,train
is pizza considered healthy,nutrition_info,train
"i'd like to know the nutritional content of eggs, please",nutrition_info,train
what's the nutrition content of chicken nuggets,nutrition_info,train
give me the nutrition facts for chicken breast,nutrition_info,train
what's the nutritional information for steak,nutrition_info,train
can you tell me the nutritional content of chicken nuggets,nutrition_info,train
what's the nutritional information of iceberg lettuce,nutrition_info,train
what kind of nutritional content do carrots have,nutrition_info,train
nutritional information for celery,nutrition_info,train
what are the nutritional facts of waffles,nutrition_info,train
can you tell me the nutrition info for pork sausage,nutrition_info,train
what's the nutritional info for an apple,nutrition_info,train
what's the nutritional info for chicken breast,nutrition_info,train
what's the nutritional info for a banana,nutrition_info,train
what's the nutritional info for a cheeseburger,nutrition_info,train
what's the nutritional info for a loaf of bread,nutrition_info,train
mashed potato's nutrition,nutrition_info,train
nutrition information of mashed potatoes,nutrition_info,train
what are the nutritional data for mashed potatoes,nutrition_info,train
are mashed potatoes good nutrition,nutrition_info,train
give me the nutritional information for mashed potatoes,nutrition_info,train
how healthy are apples,nutrition_info,train
i want to know if pizza is healthy,nutrition_info,train
can you tell me how healthy apples are,nutrition_info,train
are pasta dishes healthy,nutrition_info,train
do you know the nutrition facts for grapes,nutrition_info,train
i must know the nutritional info for grapes,nutrition_info,train
grapes have what kind of nutritional facts,nutrition_info,train
tell me the nutrition for grapes,nutrition_info,train
can you show me the nutrition facts for grapes,nutrition_info,train
i want to know the nutrition info for chicken nuggets,nutrition_info,train
tell me the nutritional information for chicken nuggets,nutrition_info,train
"nutrition information for chicken nuggets, please",nutrition_info,train
can you tell me the nutritional information for chicken nuggets,nutrition_info,train
i would like you to share with me the nutrition info for chicken nuggets,nutrition_info,train
i want to know how nutritious an avocado typically is,nutrition_info,train
can you give me nutritional info on oranges,nutrition_info,train
can you tell me how many calories are in an apple,nutrition_info,train
i would like to know how much fat is in tbsp of olive oil,nutrition_info,train
can you give the nutritional information for the pasta,nutrition_info,train
let me see the nutrition content of the chicken tacos,nutrition_info,train
i need to see the chicken salad's nutritional info,nutrition_info,train
i need to know all about the nutrition of the beef taco,nutrition_info,train
i want to see the nutritional content of the hamburger,nutrition_info,train
what sort of nutrients does a steak have,nutrition_info,train
what's the facts about nutrients in rice milk,nutrition_info,train
what type of nutrition does spaghetti have,nutrition_info,train
how many kinds of nutrients does a glass of rice milk have,nutrition_info,train
can you give me information about the nutrition facts for celery,nutrition_info,train
what's the nutrient make up of a plate of spaghetti,nutrition_info,train
what's the nutrient info for a donut,nutrition_info,train
what's the nutritional info for a ganola bar,nutrition_info,train
can you tell me about the nutrients in jello,nutrition_info,train
how many nutrients are there in a bowl of cereal,nutrition_info,train
i need to know how healthy meatloaf is,nutrition_info,train
what are the nutrition facts of grilled chicken,nutrition_info,train
what are the nutrition facts for macaroni and cheese,nutrition_info,train
please fill me in on the nutrition facts for shrimp scampi,nutrition_info,train
is spaghetti healthy,nutrition_info,train
tell me how healthy mac and cheese is,nutrition_info,train
please give me the nutrition facts for chicken parmesan,nutrition_info,train
how healthy is grilled chicken,nutrition_info,train
i want to know the nutrition facts for pizza,nutrition_info,train
do you have nutrition facts for cheerios,nutrition_info,train
where are the nutrition facts for cheerios,nutrition_info,train
how nutritious are cheerios,nutrition_info,train
where on the cheerios box are the nutrition facts,nutrition_info,train
does the box have nutrition facts for cheerios on it,nutrition_info,train
what are the nutrition facts for a mcdouble at mcdonalds,nutrition_info,train
how healthy are lunchables,nutrition_info,train
what are the nutrition facts for a medium popcorn at the movies,nutrition_info,train
